Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
WA,Female,Right-Handed,Athletics (Track & Field),1000.0,June,Tea,English,12.0,20.0,1.0,Other
WA,Female,Right-Handed,Walking/Hiking,1000.0,November,Water,Languages,7.0,0.0,6.0,Graduate degree
WA,Male,Right-Handed,Running/Jogging,500.0,August,Water,Science,9.0,0.0,0.0,Graduate degree
WA,Male,Right-Handed,Running/Jogging,660.0,August,Water,Other,7.5,13.0,2.0,Some college
WA,Female,Right-Handed,Other activities/sports,1000.0,June,Water,Art,8.0,8.0,8.0,Graduate degree
WA,Female,Right-Handed,Swimming,230.0,July,Water,Physical education,10.0,3.0,3.0,High school
WA,Female,Right-Handed,Other activities/sports,500.0,January,Water,English,7.0,12.0,10.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,582.0,July,Sports drink,Science,8.0,0.0,13.0,Graduate degree
WA,Female,Right-Handed,Walking/Hiking,1000.0,June,Coffee,English,9.0,5.0,1.0,Graduate degree
WA,Female,Ambidextrous,Swimming,0.0,August,Milk,Languages,13.0,0.0,0.0,Less than high school
WA,Female,Right-Handed,Soccer,1000.0,December,Water,Mathematics and statistics,11.0,0.0,5.0,Graduate degree
WA,Male,Right-Handed,Baseball/Softball,754.0,August,Water,Science,9.0,24.0,5.0,Undergraduate degree
WA,Male,Right-Handed,Bowling,0.0,May,Juice,Physical education,10.0,0.0,1.0,Some college
WA,Male,Right-Handed,Swimming,733.0,October,Soft drink (caffeinated),Physical education,9.0,0.0,2.0,High school
WA,Male,Left-Handed,Soccer,1000.0,May,Water,History,9.5,0.0,6.0,Some college
WA,Male,Right-Handed,Skateboarding/Rollerblading,829.0,March,Soft drink (caffeinated),History,10.0,0.0,0.0,High school
WA,Female,Right-Handed,Walking/Hiking,900.0,November,Tea,Languages,7.0,30.0,14.0,Graduate degree
WA,Female,Right-Handed,Baseball/Softball,1.0,June,Water,Science,9.0,0.0,14.0,Graduate degree
WA,Female,Right-Handed,Golf,500.0,July,Water,History,10.0,0.0,3.0,Some college
WA,Female,Right-Handed,Bowling,1000.0,October,Juice,Other,10.0,0.0,0.0,Some college
WA,Female,Right-Handed,Other activities/sports,800.0,January,Water,Art,7.0,0.0,1.0,Undergraduate degree
WA,Male,Right-Handed,Football (American),1000.0,March,Water,Computers and technology,8.0,0.0,1.0,High school
WA,Male,Right-Handed,Athletics (Track & Field),909.0,June,Water,Physical education,9.0,0.0,6.0,Graduate degree
WA,Male,Right-Handed,Football (American),1000.0,December,Soft drink (caffeinated),History,8.5,0.0,1.0,High school
WA,Male,Right-Handed,Soccer,1000.0,December,Water,Physical education,6.0,26.0,2.0,High school
WA,Female,Right-Handed,Walking/Hiking,100.0,September,Water,English,5.0,17.0,10.0,Graduate degree
WA,Female,Right-Handed,Dancing,987.0,March,Juice,Art,10.0,9.0,3.0,Undergraduate degree
WA,Female,Right-Handed,Gymnastics,700.0,October,Sports drink,Art,9.0,0.0,0.0,Other
WA,Female,Right-Handed,Walking/Hiking,487.0,March,Tea,Other,9.0,0.0,1.0,High school
WA,Male,Right-Handed,Football (American),1000.0,August,Water,History,9.0,8.0,4.0,High school
WA,Female,Right-Handed,Tennis,668.0,June,Juice,History,10.0,0.0,1.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,700.0,December,Water,Physical education,8.0,10.0,10.0,Graduate degree
WA,Male,Right-Handed,Baseball/Softball,16.0,February,Water,Physical education,10.0,27.0,5.0,High school
WA,Female,Right-Handed,Dancing,700.0,January,Water,History,8.0,0.0,3.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,1000.0,April,Water,History,8.0,25.0,17.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,995.0,May,Water,Other,8.0,9.0,3.0,Other
WA,Female,Right-Handed,Soccer,267.0,September,Soft drink (caffeinated),English,9.0,0.0,0.0,Graduate degree
WA,Male,Right-Handed,Martial Arts,800.0,September,Water,Geography,8.0,0.0,1.0,Graduate degree
WA,Male,Right-Handed,Walking/Hiking,1000.0,March,Water,Mathematics and statistics,8.0,0.0,0.0,Some college
WA,Male,Right-Handed,Skateboarding/Rollerblading,500.0,June,Soft drink (caffeinated),Art,7.0,0.0,5.0,High school
WA,Male,Right-Handed,Basketball,1000.0,March,Water,Other,7.0,0.0,0.0,Some college
WA,Female,Right-Handed,Walking/Hiking,492.0,January,Water,Art,8.0,0.0,1.0,Other
WA,Male,Right-Handed,Walking/Hiking,267.0,June,Water,History,6.0,20.0,10.0,Undergraduate degree
WA,Male,Right-Handed,Baseball/Softball,668.0,May,Soft drink (caffeinated),Computers and technology,9.0,0.0,5.0,High school
WA,Female,Right-Handed,Walking/Hiking,893.0,December,Water,Science,8.0,0.0,5.0,Graduate degree
WA,Female,Right-Handed,Walking/Hiking,471.0,March,Water,Music,4.0,0.0,5.0,High school
WA,Male,Right-Handed,Soccer,1000.0,July,Water,Art,6.0,2.0,2.0,Some college
WA,Male,Right-Handed,Basketball,600.0,May,Juice,Physical education,10.5,2.5,0.0,Less than high school
WA,Female,Right-Handed,Baseball/Softball,289.0,July,Milk,Social studies,9.0,4.0,4.0,Undergraduate degree
WA,Female,Right-Handed,Soccer,503.0,February,Water,English,8.0,0.0,4.0,Graduate degree
WA,Female,Right-Handed,Gymnastics,525.0,December,Powdered drink,Art,12.0,0.0,1.0,Graduate degree
WA,Female,Left-Handed,Athletics (Track & Field),900.0,June,Water,English,11.0,7.0,7.0,Graduate degree
WA,Female,Right-Handed,Walking/Hiking,1000.0,June,Water,English,9.0,10.0,5.0,Graduate degree
WA,Female,Right-Handed,Walking/Hiking,508.0,January,Soft drink (caffeinated),Music,8.0,35.0,10.0,Graduate degree
WA,Male,Right-Handed,Soccer,1000.0,July,Water,Physical education,9.0,0.0,0.0,Some college
WA,Female,Right-Handed,Swimming,900.0,June,Water,History,11.0,0.0,4.0,Graduate degree
WA,Male,Ambidextrous,Baseball/Softball,1000.0,September,Juice,Physical education,6.0,0.0,1.0,Graduate degree
WA,Male,Right-Handed,Bowling,700.0,February,Water,Science,9.0,0.0,4.0,Graduate degree
WA,Female,Right-Handed,Walking/Hiking,1000.0,April,Coffee,Social studies,10.0,0.0,3.5,Some college
WA,Male,Right-Handed,Walking/Hiking,396.0,December,Coffee,Physical education,8.0,10.0,2.0,Some college
WA,Female,Right-Handed,Walking/Hiking,1000.0,December,Water,English,10.0,0.0,12.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,1000.0,January,Sports drink,Mathematics and statistics,9.0,4.5,1.0,High school
WA,Male,Right-Handed,Other activities/sports,107.0,February,Coffee,Music,6.0,0.0,10.0,Some college
WA,Male,Right-Handed,Hockey (Ice),0.0,June,Water,History,6.0,30.0,10.0,High school
WA,Female,Right-Handed,Other activities/sports,433.0,December,Water,History,7.5,0.0,3.0,Graduate degree
WA,Female,Right-Handed,Swimming,923.0,April,Milk,Mathematics and statistics,8.0,25.0,3.0,Graduate degree
WA,Male,Right-Handed,Soccer,1000.0,June,Water,History,9.0,20.0,20.0,Undergraduate degree
WA,Female,Right-Handed,Soccer,100.0,February,Water,Art,8.0,0.0,15.0,High school
WA,Male,Right-Handed,Martial Arts,890.0,May,Water,Mathematics and statistics,8.5,0.0,3.0,Some college
WA,Male,Right-Handed,Lacrosse,524.0,March,Soft drink (non-caffeinated),Music,10.0,0.0,1.0,High school
WA,Male,Right-Handed,Martial Arts,500.0,September,Energy drink,Computers and technology,6.0,0.0,11.0,Some college
WA,Female,Right-Handed,Walking/Hiking,492.0,July,Other,Other,8.0,5.0,0.0,Some college
WA,Female,Left-Handed,Soccer,219.0,April,Tea,English,5.0,40.0,1.0,Graduate degree
WA,Male,Right-Handed,Football (American),545.0,February,Water,Other,8.0,10.0,10.0,High school
WA,Male,Right-Handed,Football (American),636.0,April,Coffee,Other,7.0,6.0,1.0,Graduate degree
WA,Female,Right-Handed,Soccer,900.0,June,Juice,Art,8.0,0.0,1.0,Some college
WA,Male,Right-Handed,Football (American),500.0,May,Soft drink (caffeinated),Physical education,10.0,0.0,0.0,High school
WA,Female,Right-Handed,Walking/Hiking,800.0,April,Water,Science,7.0,0.0,5.0,Graduate degree
WA,Female,Ambidextrous,Other activities/sports,600.0,April,Tea,Science,12.0,0.0,0.0,Graduate degree
WA,Male,Ambidextrous,Baseball/Softball,650.0,April,Water,History,10.0,0.0,6.0,Graduate degree
WA,Male,Left-Handed,Walking/Hiking,1000.0,June,Juice,Mathematics and statistics,10.0,0.0,1.0,Graduate degree
WA,Female,Right-Handed,Dancing,600.0,June,Water,Physical education,13.0,0.0,4.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,1000.0,November,Coffee,English,9.0,8.0,5.0,Some college
WA,Female,Right-Handed,Basketball,717.0,November,Water,English,9.0,0.0,2.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,900.0,January,Water,Art,8.0,6.0,2.0,Some college
WA,Male,Right-Handed,Other activities/sports,100.0,February,Water,Art,8.0,0.0,7.0,High school
WA,Male,Right-Handed,Basketball,465.0,September,Water,Physical education,10.0,0.0,2.0,Other
WA,Male,Right-Handed,Soccer,1000.0,September,Soft drink (caffeinated),Physical education,8.5,0.0,2.0,Graduate degree
WA,Male,Right-Handed,Swimming,1000.0,October,Water,Mathematics and statistics,10.0,0.0,1.0,Graduate degree
WA,Male,Right-Handed,Dancing,500.0,December,Juice,Mathematics and statistics,9.0,0.0,1.0,Some college
WA,Male,Right-Handed,Baseball/Softball,500.0,October,Water,Physical education,8.0,0.0,1.0,Graduate degree
WA,Female,Right-Handed,Basketball,717.0,January,Juice,Art,9.0,8.0,1.0,Some college
WA,Female,Right-Handed,Dancing,400.0,July,Water,Other,11.0,12.0,12.0,Other
WA,Male,Right-Handed,Basketball,2.0,May,Energy drink,Other,9.0,35.0,1.0,Graduate degree
WA,Male,Right-Handed,Basketball,1000.0,June,Water,Other,8.0,0.0,2.0,High school
WA,Male,Right-Handed,Other activities/sports,800.0,April,Soft drink (caffeinated),Art,9.0,0.0,0.0,Graduate degree
WA,Male,Left-Handed,Swimming,65.0,April,Milk,Physical education,6.0,6.0,3.0,Some college
WA,Male,Right-Handed,Skateboarding/Rollerblading,500.0,June,Other,Other,7.0,1.0,5.0,Graduate degree
WA,Female,Left-Handed,Soccer,50.0,December,Water,Art,9.0,0.0,2.0,High school
WA,Male,Right-Handed,Football (American),800.0,September,Water,Art,5.0,17.0,4.0,Other
WA,Female,Left-Handed,Skateboarding/Rollerblading,797.0,August,Water,Art,11.0,0.0,9.0,Some college
WA,Female,Right-Handed,Tennis,1000.0,November,Water,Art,10.0,0.0,3.0,High school
WA,Female,Right-Handed,Swimming,834.0,July,Water,History,10.0,20.0,4.0,Graduate degree
WA,Male,Ambidextrous,Athletics (Track & Field),1000.0,October,Energy drink,Physical education,13.0,3.0,2.5,Graduate degree
WA,Male,Right-Handed,Soccer,600.0,December,Water,Other,5.0,6.0,10.0,Other
WA,Male,Right-Handed,Soccer,214.0,July,Soft drink (non-caffeinated),Physical education,10.0,0.0,25.0,Graduate degree
WA,Male,Right-Handed,Basketball,100.0,December,Water,Computers and technology,11.0,8.0,24.0,Other
WA,Female,Right-Handed,Other activities/sports,800.0,December,Water,Art,9.0,3.0,3.0,Some college
WA,Male,Right-Handed,Baseball/Softball,476.0,March,Water,Mathematics and statistics,8.0,0.0,6.0,Other
WA,Male,Left-Handed,Other activities/sports,3.0,January,Soft drink (caffeinated),Mathematics and statistics,10.0,1.0,0.0,Other
WA,Male,Right-Handed,Skateboarding/Rollerblading,1000.0,September,Milk,Physical education,12.0,7.0,1.0,High school
WA,Male,Right-Handed,Lacrosse,1000.0,January,Milk,Physical education,7.0,15.0,5.0,Graduate degree
WA,Female,Right-Handed,Athletics (Track & Field),5.0,December,Water,Physical education,8.0,0.0,1.0,Some college
WA,Male,Right-Handed,Bowling,1000.0,September,Soft drink (caffeinated),Physical education,6.0,16.0,5.0,High school
WA,Male,Ambidextrous,Other activities/sports,600.0,October,Soft drink (non-caffeinated),Other,6.0,26.0,9.0,Some college
WA,Male,Right-Handed,Lacrosse,800.0,October,Tea,History,8.0,20.0,4.0,Undergraduate degree
WA,Male,Right-Handed,Other activities/sports,100.0,April,Soft drink (caffeinated),Other,8.0,20.0,7.0,High school
WA,Male,Right-Handed,Golf,128.0,December,Water,Physical education,8.0,0.0,1.0,High school
WA,Male,Right-Handed,Soccer,1000.0,May,Water,Science,10.0,0.0,3.0,Some college
WA,Female,Ambidextrous,Skateboarding/Rollerblading,1000.0,April,Milk,Other,10.0,20.0,4.0,High school
WA,Male,Right-Handed,Basketball,500.0,November,Water,Physical education,10.0,5.0,5.0,Some college
WA,Male,Right-Handed,Hockey (Ice),100.0,May,Juice,Physical education,7.0,10.0,2.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,1000.0,May,Coffee,English,8.0,0.0,4.0,Other
WA,Male,Right-Handed,Hockey (Ice),50.0,May,Water,Physical education,4.0,22.0,20.0,Other
WA,Male,Right-Handed,Other activities/sports,16.0,June,Sports drink,Physical education,10.0,30.0,3.0,Some college
WA,Male,Ambidextrous,Skateboarding/Rollerblading,800.0,December,Soft drink (caffeinated),Music,12.0,0.0,1.0,Other
WA,Male,Right-Handed,Soccer,300.0,September,Energy drink,Art,8.5,5.0,0.0,Some college
WA,Male,Right-Handed,Basketball,85.0,January,Tea,Physical education,9.0,0.0,2.0,Graduate degree
WA,Female,Left-Handed,Other activities/sports,1000.0,March,Water,English,7.0,0.0,3.0,Other
WA,Male,Right-Handed,Soccer,663.0,August,Water,History,5.0,0.0,20.0,Some college
WA,Female,Right-Handed,Basketball,500.0,May,Water,Art,10.0,0.0,7.0,Other
WA,Female,Right-Handed,Bowling,1000.0,January,Water,Art,11.0,0.0,3.0,Some college
WA,Male,Ambidextrous,Baseball/Softball,711.0,April,Juice,Physical education,8.0,20.0,3.0,Graduate degree
WA,Female,Right-Handed,Swimming,0.0,January,Water,Art,13.0,20.0,10.0,High school
WA,Female,Right-Handed,Other activities/sports,0.0,May,Juice,History,12.0,12.0,5.0,Graduate degree
WA,Male,Right-Handed,Table Tennis,900.0,November,Water,Science,10.0,0.0,5.0,Graduate degree
WA,Male,Right-Handed,Football (American),15.0,July,Water,Mathematics and statistics,6.0,3.0,3.0,Graduate degree
WA,Female,Right-Handed,Bowling,1000.0,May,Water,Art,6.5,0.0,5.0,Graduate degree
WA,Female,Right-Handed,Hockey (Ice),1000.0,November,Energy drink,Mathematics and statistics,7.0,4.0,1.0,Other
WA,Male,Right-Handed,Cycling,674.0,January,Water,Computers and technology,10.0,0.0,7.0,High school
WA,Male,Right-Handed,Bowling,914.0,February,Soft drink (caffeinated),English,6.0,5.0,15.0,High school
WA,Male,Right-Handed,Walking/Hiking,626.0,September,Water,Music,9.0,0.0,0.0,Undergraduate degree
WA,Female,Left-Handed,Soccer,400.0,January,Soft drink (caffeinated),History,6.0,2.0,1.0,Other
WA,Female,Right-Handed,Other activities/sports,500.0,May,Coffee,Art,8.0,0.0,5.0,Graduate degree
WA,Male,Right-Handed,Walking/Hiking,749.0,November,Water,History,7.0,0.0,2.0,High school
WA,Female,Right-Handed,Basketball,791.0,March,Juice,Art,12.0,3.0,12.0,High school
WA,Male,Ambidextrous,Baseball/Softball,551.0,March,Energy drink,Science,9.0,12.0,7.0,Graduate degree
WA,Male,Left-Handed,Other activities/sports,904.0,May,Water,Other,8.0,6.0,2.0,Undergraduate degree
